Date,Not indexed,Indexed,Impressions
2026-03-28,806,328,723
2026-03-29,783,324,929
2026-03-30,783,324,722
2026-03-31,783,324,772
2026-04-01,765,322,772
2026-04-02,765,322,746
2026-04-03,765,322,825
2026-04-04,765,322,934
2026-04-05,707,321,898
2026-04-06,707,321,878
2026-04-07,678,321,812
2026-04-08,678,321,830
2026-04-09,678,321,843
2026-04-10,678,321,888
2026-04-11,659,319,825
2026-04-12,659,319,722
2026-04-13,659,319,715
2026-04-14,649,310,718
2026-04-15,649,310,918
2026-04-16,649,310,1006
2026-04-17,649,310,1229
2026-04-18,637,304,789
2026-04-19,637,304,826
2026-04-20,637,304,823
2026-04-21,645,272,766
2026-04-22,645,272,794
2026-04-23,645,272,654
2026-04-24,645,272,702
2026-04-25,661,243,891
2026-04-26,661,243,820
2026-04-27,661,243,811
2026-04-28,666,224,704
2026-04-29,666,224,709
2026-04-30,666,224,809
2026-05-01,666,224,715
2026-05-02,679,205,750
2026-05-03,679,205,904
2026-05-04,679,205,968
2026-05-05,664,207,818
2026-05-06,664,207,750
2026-05-07,664,207,863
2026-05-08,664,207,922
2026-05-09,633,218,963
2026-05-10,633,218,1048
2026-05-11,633,218,911
2026-05-12,629,216,899
2026-05-13,629,216,978
2026-05-14,629,216,910
2026-05-15,629,216,909
2026-05-16,623,218,1129
2026-05-17,623,218,983
2026-05-18,623,218,924
2026-05-19,628,213,911
2026-05-20,628,213,779
2026-05-21,628,213,829
2026-05-22,628,213,834
2026-05-23,629,211,894
2026-05-24,629,211,1010
2026-05-25,629,211,957
2026-05-26,622,211,939
2026-05-27,622,211,858
2026-05-28,622,211,936
2026-05-29,622,211,1010
2026-05-30,630,199,978
2026-05-31,630,199,1189
2026-06-01,630,199,1045
2026-06-02,626,193,960
2026-06-03,626,193,979
2026-06-04,626,193,939
2026-06-05,626,193,1009
2026-06-06,616,193,1031
2026-06-07,616,193,1036
2026-06-08,616,193,919
2026-06-09,612,194,799
2026-06-10,612,194,894
2026-06-11,612,194,978
2026-06-12,612,194,893
