Reason,Source,Validation,Pages
Not found (404),Website,Not Started,145
Page with redirect,Website,Not Started,59
Excluded by ‘noindex’ tag,Website,Not Started,23
Alternate page with proper canonical tag,Website,Not Started,5
Redirect error,Website,Not Started,3
Soft 404,Website,Not Started,2
Server error (5xx),Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,373
"Duplicate, Google chose different canonical than user",Google systems,Not Started,1
Blocked due to other 4xx issue,Website,N/A,0
Blocked due to access forbidden (403),Website,N/A,0
