D1_Product_ID,Product_Title,Product_Family,Slug,Product_URL,Status,Created_At,Updated_At
"1","Standard Fitted Sheet","sheets","standard-fitted-sheet","","1","2026-05-24 03:46:11","2026-05-25 09:26:57"
"2","Deep Pocket Fitted Sheet","sheets","deep-pocket-fitted-sheet","","1","2026-05-24 03:46:11","2026-06-18 03:09:39"
"3","Marine Fitted Sheet","sheets","marine-fitted-sheet","","1","2026-05-24 03:46:11","2026-06-29 21:34:08"
"4","Dorm Fitted Sheet","sheets","dorm-fitted-sheet","","1","2026-05-24 03:46:11","2026-06-18 03:13:45"
"5","RV & Truck Fitted Sheet","sheets","rv-truck-fitted-sheet","","1","2026-05-24 03:46:11","2026-06-29 02:55:07"
"6","Family & Co-Sleeping Fitted Sheet","sheets","family-fitted-sheet","","1","2026-05-24 03:46:11","2026-07-02 03:17:51"
"7","Pet Owner Fitted Sheet","sheets","pet-owner-fitted-sheet","","1","2026-05-24 03:46:11","2026-07-03 06:28:38"
"8","Flat Sheet - Standard","sheets","flat-sheet-standard","","1","2026-05-24 03:46:11","2026-06-23 05:55:19"
"9","Flat Sheet — Extra Deep Pocket","sheets","flat-sheet-extra-deep-pocket","","1","2026-05-24 03:46:11","2026-05-24 03:46:11"
"10","3-Sided Zipper Duvet Cover","duvet-covers","3-sided-duvet","","1","2026-05-24 03:46:11","2026-08-21 10:42:48"
"11","Pet Owner Duvet Cover","duvet-covers","pet-owner-duvet-cover","","1","2026-05-24 03:46:11","2026-06-18 03:24:41"
"12","Duvet Cover — Marine","duvet-covers","duvet-cover-marine","","1","2026-05-24 03:46:11","2026-06-24 08:37:29"
"13","Duvet Cover — RV","duvet-covers","duvet-cover-rv","","1","2026-05-24 03:46:11","2026-06-28 03:53:13"
"14","Duvet Cover — Dorm","duvet-covers","duvet-cover-dorm","","1","2026-05-24 03:46:11","2026-06-26 05:08:34"
"15","Duvet Insert","duvet-covers","duvet-insert","","1","2026-05-24 03:46:11","2026-06-18 03:57:18"
"16","Envelope Pillowcase","pillowcases","pillowcase-envelope","","1","2026-05-24 03:46:11","2026-06-18 03:34:45"
"17","Zipper Pillowcase","pillowcases","pillowcase-zipper","","1","2026-05-24 03:46:11","2026-08-21 13:18:48"
"18","Sham Pillowcase","pillowcases","pillowcase-sham","","1","2026-05-24 03:46:11","2026-08-21 13:23:05"
"19","Mattress Protector: Standard Size","protection","mattress-protector-standard","","1","2026-05-24 03:46:11","2026-06-13 10:28:51"
"20","Mattress Protector, Family & Co-Sleep ","protection","mattress-protector-family","","1","2026-05-24 03:46:11","2026-06-18 03:56:53"
"21","Mattress Protector — Deep Pocket","protection","mattress-protector-deep-pocket","","1","2026-05-24 03:46:11","2026-08-21 09:59:51"
"22","Pet-Proof Mattress Protector","protection","pet-proof-mattress-protector","","1","2026-05-24 03:46:11","2026-06-18 03:55:09"
"23","6-Sided Mattress Encasement","protection","mattress-encasement-general","","1","2026-05-24 03:46:11","2026-06-18 03:53:57"
"24","RV & Truck Mattress Encasement","protection","rv-truck-mattress-encasement","","1","2026-05-24 03:46:11","2026-06-18 03:54:17"
"25","Pillow Protector","protection","pillow-protector-general","","1","2026-05-24 03:46:11","2026-08-21 13:30:28"
"26","BedBridge Connector","accessories","bedbridge-connector","","1","2026-05-24 03:46:11","2026-07-04 03:57:10"
"27","Easy Bed Maker & Mattress Lifter","accessories","mattress-lift-helper","","1","2026-05-24 03:46:11","2026-08-21 13:32:32"
"28","Marine Mattress Protector","protection","marine-mattress-protector","","1","2026-06-17 09:11:33","2026-08-20 04:28:52"
"29","Marine Top Sheet","sheets","marine-top-sheet","","1","2026-08-06 14:53:39","2026-08-07 07:05:37"
"32","Co-Sleeping Top Sheet","sheets","co-sleeping-top-sheet","","1","2026-08-07 07:29:06","2026-08-07 07:53:44"
