D1_Product_ID,Collection_Type
"2","deep-pocket"
"3","marine"
"4","boarding-dorm"
"5","rv-truck"
"6","family"
"7","pets"
"9","deep-pocket"
"10","family"
"11","pets"
"12","marine"
"13","rv-truck"
"14","boarding-dorm"
"16","boarding-dorm"
"16","deep-pocket"
"16","family"
"16","marine"
"16","pets"
"16","rv-truck"
"17","boarding-dorm"
"17","deep-pocket"
"17","family"
"17","marine"
"17","pets"
"18","boarding-dorm"
"18","deep-pocket"
"18","family"
"18","pets"
"20","family"
"21","deep-pocket"
"22","pets"
"24","rv-truck"
"25","boarding-dorm"
"25","marine"
"25","pets"
"25","rv-truck"
"26","family"
"27","boarding-dorm"
"27","deep-pocket"
"27","family"
"28","marine"
"29","marine"
"32","family"
